name	type	units	low_cutoff	high_cutoff	reference	group	sampling_frequency	description	notch	status	status_description
D12-D13	SEEG	µV	n/a	n/a	intracranial	D	4096	SEEG	n/a	good	n/a
D13-D14	SEEG	µV	n/a	n/a	intracranial	D	4096	SEEG	n/a	good	n/a
D14-D15	SEEG	µV	n/a	n/a	intracranial	D	4096	SEEG	n/a	good	n/a
A01-A02	SEEG	µV	n/a	n/a	intracranial	A	4096	SEEG	n/a	good	n/a
A02-A03	SEEG	µV	n/a	n/a	intracranial	A	4096	SEEG	n/a	good	n/a
A03-A04	SEEG	µV	n/a	n/a	intracranial	A	4096	SEEG	n/a	good	n/a
A06-A07	SEEG	µV	n/a	n/a	intracranial	A	4096	SEEG	n/a	good	n/a
A07-A08	SEEG	µV	n/a	n/a	intracranial	A	4096	SEEG	n/a	good	n/a
A08-A09	SEEG	µV	n/a	n/a	intracranial	A	4096	SEEG	n/a	good	n/a
H01-H02	SEEG	µV	n/a	n/a	intracranial	H	4096	SEEG	n/a	good	n/a
H05-H06	SEEG	µV	n/a	n/a	intracranial	H	4096	SEEG	n/a	good	n/a
H06-H07	SEEG	µV	n/a	n/a	intracranial	H	4096	SEEG	n/a	good	n/a
H12-H13	SEEG	µV	n/a	n/a	intracranial	H	4096	SEEG	n/a	good	n/a
L09-L10	SEEG	µV	n/a	n/a	intracranial	L	4096	SEEG	n/a	good	n/a
L14-L15	SEEG	µV	n/a	n/a	intracranial	L	4096	SEEG	n/a	good	n/a
K02-K03	SEEG	µV	n/a	n/a	intracranial	K	4096	SEEG	n/a	good	n/a
K03-K04	SEEG	µV	n/a	n/a	intracranial	K	4096	SEEG	n/a	good	n/a
K04-K05	SEEG	µV	n/a	n/a	intracranial	K	4096	SEEG	n/a	good	n/a
K05-K06	SEEG	µV	n/a	n/a	intracranial	K	4096	SEEG	n/a	good	n/a
K06-K07	SEEG	µV	n/a	n/a	intracranial	K	4096	SEEG	n/a	good	n/a
K07-K08	SEEG	µV	n/a	n/a	intracranial	K	4096	SEEG	n/a	good	n/a
K08-K09	SEEG	µV	n/a	n/a	intracranial	K	4096	SEEG	n/a	good	n/a
K09-K10	SEEG	µV	n/a	n/a	intracranial	K	4096	SEEG	n/a	good	n/a
M05-M06	SEEG	µV	n/a	n/a	intracranial	M	4096	SEEG	n/a	good	n/a
M06-M07	SEEG	µV	n/a	n/a	intracranial	M	4096	SEEG	n/a	good	n/a
M07-M08	SEEG	µV	n/a	n/a	intracranial	M	4096	SEEG	n/a	good	n/a
M08-M09	SEEG	µV	n/a	n/a	intracranial	M	4096	SEEG	n/a	good	n/a
M09-M10	SEEG	µV	n/a	n/a	intracranial	M	4096	SEEG	n/a	good	n/a
M14-M15	SEEG	µV	n/a	n/a	intracranial	M	4096	SEEG	n/a	good	n/a
C11-C12	SEEG	µV	n/a	n/a	intracranial	C	4096	SEEG	n/a	good	n/a
B09-B10	SEEG	µV	n/a	n/a	intracranial	B	4096	SEEG	n/a	good	n/a
O03-O04	SEEG	µV	n/a	n/a	intracranial	O	4096	SEEG	n/a	good	n/a
O09-O10	SEEG	µV	n/a	n/a	intracranial	O	4096	SEEG	n/a	good	n/a
Q01-Q02	SEEG	µV	n/a	n/a	intracranial	Q	4096	SEEG	n/a	good	n/a
Q02-Q03	SEEG	µV	n/a	n/a	intracranial	Q	4096	SEEG	n/a	good	n/a
Q03-Q04	SEEG	µV	n/a	n/a	intracranial	Q	4096	SEEG	n/a	good	n/a
Q04-Q05	SEEG	µV	n/a	n/a	intracranial	Q	4096	SEEG	n/a	good	n/a
Q05-Q06	SEEG	µV	n/a	n/a	intracranial	Q	4096	SEEG	n/a	good	n/a
Q06-Q07	SEEG	µV	n/a	n/a	intracranial	Q	4096	SEEG	n/a	good	n/a
Q07-Q08	SEEG	µV	n/a	n/a	intracranial	Q	4096	SEEG	n/a	good	n/a
J01-J02	SEEG	µV	n/a	n/a	intracranial	J	4096	SEEG	n/a	good	n/a
J02-J03	SEEG	µV	n/a	n/a	intracranial	J	4096	SEEG	n/a	good	n/a
J03-J04	SEEG	µV	n/a	n/a	intracranial	J	4096	SEEG	n/a	good	n/a
J04-J05	SEEG	µV	n/a	n/a	intracranial	J	4096	SEEG	n/a	good	n/a
J05-J06	SEEG	µV	n/a	n/a	intracranial	J	4096	SEEG	n/a	good	n/a
J06-J07	SEEG	µV	n/a	n/a	intracranial	J	4096	SEEG	n/a	good	n/a
J07-J08	SEEG	µV	n/a	n/a	intracranial	J	4096	SEEG	n/a	good	n/a
